restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,clean_name
Jalpaan,casual dining,3.9,675,900.0,Yes,Yes,"north indian, continental",malleshwaram,rajajinagar,Jalpaan
Jalsa,casual dining,4.1,775,800.0,Yes,Yes,"north indian, mughlai, chinese",banashankari,banashankari,Jalsa
Jalsa Adda,food court,3.2,8,400.0,No,No,"north indian, south indian, arabian",whitefield,whitefield,Jalsa Adda
Jalsa Gold,casual dining,4.5,3421,1300.0,No,Yes,"north indian, mughlai, italian",bellandur,marathahalli,Jalsa Gold
Jamavar - The Leela Palace,fine dining,4.2,519,4000.0,No,Yes,"north indian, south indian",indiranagar,old airport road,Jamavar - The Leela Palace
JamayCafe,cafe,2.8,16,600.0,No,No,cafe,kalyan nagar,kalyan nagar,JamayCafe
Jambudweepa Juice Bar,beverage shop,3.8,24,150.0,Yes,No,"beverages, healthy food",kalyan nagar,banaswadi,Jambudweepa Juice Bar
Jameela Hotel,quick bites,3.3,9,200.0,No,No,biryani,rajajinagar,magadi road,Jameela Hotel
Janahaar,quick bites,3.8,70,100.0,Yes,No,south indian,banashankari,banashankari,Janahaar
Janatha Cafe,quick bites,3.2,22,400.0,Yes,No,"south indian, kerala",kalyan nagar,hennur,Janatha Cafe
Japan Travel Cafe Azuki,cafe,4.3,67,400.0,No,No,"cafe, japanese",brigade road,residency road,Japan Travel Cafe Azuki
Jars,delivery,3.8,28,650.0,Yes,No,"healthy food, beverages",brigade road,vasanth nagar,Jars
Jashn,casual dining,3.7,132,750.0,Yes,No,north indian,bellandur,marathahalli,Jashn
Jashn - Le Meridien,fine dining,3.7,47,2000.0,No,No,"north indian, mughlai",lavelle road,sankey road,Jashn - Le Meridien
Jashn Hyderabadi Bawarchi,casual dining,2.9,139,650.0,Yes,No,"hyderabadi, north indian, chinese, biryani",malleshwaram,new bel road,Jashn Hyderabadi Bawarchi
Java,casual dining,3.7,39,700.0,No,No,"north indian, chinese",indiranagar,old airport road,Java
Java City,cafe,2.5,157,450.0,Yes,No,"cafe, american, pizza",jayanagar,jayanagar,Java City
Jay Bhavani,quick bites,3.6,41,400.0,Yes,No,"north indian, street food, pizza",rajajinagar,vijay nagar,Jay Bhavani
Jay Bhavani Vadapav,quick bites,3.4,26,150.0,Yes,No,"maharashtrian, street food",rajajinagar,seshadripuram,Jay Bhavani Vadapav
Jay Mataji Farsan and Sweets,sweet shop,3.5,9,150.0,No,No,"mithai, gujarati",malleshwaram,yeshwantpur,Jay Mataji Farsan and Sweets
Jayanagar Grill House,quick bites,3.5,35,250.0,Yes,No,"biryani, kebab",basavanagudi,jayanagar,Jayanagar Grill House
Jayanagara Donne Biryani,quick bites,3.6,60,400.0,Yes,No,"biryani, south indian",basavanagudi,jayanagar,Jayanagara Donne Biryani
Jayanthi Sagar,quick bites,3.1,21,200.0,No,No,"south indian, north indian, chinese","byresandra,tavarekere,madiwala",koramangala 5th block,Jayanthi Sagar
Jcubez,lounge,3.8,977,1300.0,No,Yes,finger food,banashankari,banashankari,Jcubez
Jeet Punjabi Tadka,quick bites,3.5,17,500.0,No,No,"north indian, south indian",new bel road,new bel road,Jeet Punjabi Tadka
Jeevika Donne Biryani,quick bites,3.4,8,400.0,No,No,"biryani, chinese, fast food",koramangala 7th block,koramangala 8th block,Jeevika Donne Biryani
Jeff's - Royal Orchid Hotel,bar,3.9,73,1800.0,No,No,"chinese, continental",indiranagar,old airport road,Jeff's - Royal Orchid Hotel
Jenisha Green View Restaurant,quick bites,2.8,40,500.0,Yes,No,"north indian, fast food",indiranagar,ejipura,Jenisha Green View Restaurant
Jerry Mama's,bakery,3.6,10,250.0,No,No,bakery,indiranagar,indiranagar,Jerry Mama's
Jethro's,quick bites,3.7,18,450.0,No,No,"fast food, burger",jp nagar,jp nagar,Jethro's
Jetlag,"bar, casual dining",4.3,1042,1650.0,No,Yes,"finger food, continental, north indian, italian, japanese",malleshwaram,rajajinagar,Jetlag
JFD Cafe,cafe,2.8,37,400.0,Yes,No,cafe,hsr,hsr,JFD Cafe
Jhanhavi Restaurant,quick bites,3.1,105,400.0,Yes,No,"north indian, chinese, south indian, biryani",brookefield,marathahalli,Jhanhavi Restaurant
Jhasaa,"takeaway, delivery",3.2,8,500.0,Yes,No,"seafood, salad, north indian, biryani, chinese",bannerghatta road,btm,Jhasaa
Ji Hazoor,"casual dining, bar",4.0,2807,1100.0,Yes,Yes,"mughlai, north indian, biryani, afghan",brookefield,whitefield,Ji Hazoor
Jiffy Cafe,cafe,3.4,6,500.0,No,No,cafe,kalyan nagar,hennur,Jiffy Cafe
Jigani Dum Biryani Centre,quick bites,3.3,7,150.0,No,No,biryani,electronic city,electronic city,Jigani Dum Biryani Centre
Jigarthanda,"beverage shop, quick bites",3.5,17,300.0,No,No,"beverages, rolls",malleshwaram,malleshwaram,Jigarthanda
Jimi's Beer Cafe,bar,3.9,815,1700.0,No,Yes,"american, north indian, chinese",indiranagar,indiranagar,Jimi's Beer Cafe
Jingo BBQ & Burgers,quick bites,3.9,40,550.0,Yes,No,"burger, bbq",frazer town,kammanahalli,Jingo BBQ & Burgers
Jiyan Swadista,quick bites,3.4,10,300.0,Yes,No,"chinese, kebab, north indian",marathahalli,marathahalli,Jiyan Swadista
Jiyo Natural,delivery,3.6,14,300.0,No,No,"healthy food, north indian",bannerghatta road,south bangalore,Jiyo Natural
JLT Food,quick bites,3.6,23,450.0,Yes,No,north indian,brookefield,whitefield,JLT Food
Jodhpur Jaika,quick bites,3.3,4,200.0,No,No,"north indian, street food","byresandra,tavarekere,madiwala",bommanahalli,Jodhpur Jaika
Jodhpur Sweets,beverage shop,3.8,29,100.0,No,No,"desserts, street food",electronic city,electronic city,Jodhpur Sweets
Jodhpur Sweets & Corner,"dessert parlor, sweet shop",3.7,21,200.0,No,No,"desserts, street food, mithai",koramangala 4th block,btm,Jodhpur Sweets & Corner
Joey's,quick bites,3.7,43,300.0,No,No,"chinese, fast food",bannerghatta road,btm,Joey's
Johnny Fox,bar,3.9,66,1500.0,No,No,"north indian, chinese","byresandra,tavarekere,madiwala",hosur road,Johnny Fox
Johny's Kitchen,quick bites,4.1,59,300.0,Yes,No,"north indian, south indian",indiranagar,jeevan bhima nagar,Johny's Kitchen
Jonah's,"casual dining, bar",4.1,1827,1100.0,Yes,Yes,"italian, seafood, american, continental",indiranagar,indiranagar,Jonah's
Joon Restaurant,quick bites,3.7,31,400.0,Yes,No,"arabian, chinese, north indian, kerala, juices",bannerghatta road,btm,Joon Restaurant
Jordan Food Corner,quick bites,2.8,40,200.0,No,No,"north indian, fast food",marathahalli,marathahalli,Jordan Food Corner
Jose's Mess,mess,4.3,315,300.0,No,No,"kerala, south indian, biryani","byresandra,tavarekere,madiwala",btm,Jose's Mess
Joshi's Mumbai Masala,quick bites,3.3,6,150.0,No,No,"street food, fast food",basavanagudi,basavanagudi,Joshi's Mumbai Masala
Joshitha Andra Mess,mess,3.2,9,250.0,No,No,"andhra, biryani",electronic city,electronic city,Joshitha Andra Mess
JP Fish Land,quick bites,3.6,24,300.0,Yes,No,seafood,bannerghatta road,btm,JP Fish Land
J's Cafe,cafe,3.9,155,700.0,No,No,"cafe, continental",indiranagar,indiranagar,J's Cafe
JS Food Court,quick bites,3.8,127,400.0,Yes,No,"fast food, juices",frazer town,kammanahalli,JS Food Court
Juba Cafe,quick bites,3.4,13,100.0,No,No,juices,kalyan nagar,kalyan nagar,Juba Cafe
Jubli Biryani,quick bites,3.6,17,500.0,Yes,No,"biryani, chinese",whitefield,whitefield,Jubli Biryani
Juice 99,beverage shop,3.5,20,150.0,Yes,No,"fast food, beverages",koramangala 4th block,btm,Juice 99
Juice Berg,bakery,4.0,181,500.0,Yes,No,"bakery, desserts",whitefield,whitefield,Juice Berg
Juice Buzz,beverage shop,3.1,10,200.0,No,No,juices,"byresandra,tavarekere,madiwala",jp nagar,Juice Buzz
Juice Fresco,beverage shop,3.3,15,150.0,Yes,No,beverages,kalyan nagar,nagawara,Juice Fresco
Juice Fresco & Pizza,"quick bites, beverage shop",3.4,12,300.0,No,No,"beverages, pizza","byresandra,tavarekere,madiwala",jp nagar,Juice Fresco & Pizza
Juice Junction,beverage shop,2.8,20,150.0,Yes,No,"juices, fast food","byresandra,tavarekere,madiwala",jp nagar,Juice Junction
Juice Junction Food Court,"beverage shop, quick bites",3.7,70,250.0,Yes,No,"beverages, juices, fast food","byresandra,tavarekere,madiwala",koramangala 6th block,Juice Junction Food Court
Juice Land,beverage shop,3.9,141,300.0,Yes,No,"juices, beverages",bannerghatta road,bannerghatta road,Juice Land
Juice Lounge,beverage shop,3.1,28,250.0,Yes,No,"beverages, healthy food",bannerghatta road,btm,Juice Lounge
Juice Point,"beverage shop, quick bites",3.2,6,100.0,No,No,"juices, beverages, fast food",koramangala 4th block,koramangala 1st block,Juice Point
Juice Shop,quick bites,3.3,11,200.0,No,No,"street food, beverages",lavelle road,brigade road,Juice Shop
Juiced Burger,delivery,3.5,5,750.0,Yes,No,burger,hsr,south bangalore,Juiced Burger
Juicemaker,beverage shop,3.8,29,400.0,No,No,"beverages, fast food",brigade road,cunningham road,Juicemaker
Juicy,beverage shop,3.8,80,200.0,Yes,No,"beverages, juices, fast food",indiranagar,old airport road,Juicy
Juicy & Spicy,"quick bites, beverage shop",3.1,4,150.0,Yes,No,"bakery, fast food",bannerghatta road,jp nagar,Juicy & Spicy
Juicy Hut,quick bites,3.2,9,200.0,No,No,"juices, fast food",bannerghatta road,bannerghatta road,Juicy Hut
Juicy Juice,beverage shop,3.5,40,100.0,No,No,"beverages, ice cream",koramangala 6th block,ejipura,Juicy Juice
Juicy Momos,food court,3.1,21,250.0,Yes,No,"tibetan, momos",bannerghatta road,bannerghatta road,Juicy Momos
JukeBox,"casual dining, bar",3.9,281,1000.0,No,Yes,"continental, parsi, chinese, north indian, italian, steak","byresandra,tavarekere,madiwala",koramangala 7th block,JukeBox
Jumping Beans,cafe,4.0,220,850.0,Yes,No,"cafe, north indian, chinese, biryani, beverages",indiranagar,old madras road,Jumping Beans
Just Bake,bakery,2.7,23,400.0,Yes,No,bakery,old airport road,old airport road,Just Bake
Just Baked,bakery,3.4,11,400.0,No,No,"bakery, desserts",frazer town,frazer town,Just Baked
Just Bunny,quick bites,3.5,11,200.0,Yes,No,fast food,banashankari,jayanagar,Just Bunny
Just Cakes,bakery,3.4,22,350.0,Yes,No,bakery,electronic city,electronic city,Just Cakes
Just Chill,beverage shop,3.4,54,250.0,Yes,No,beverages,bannerghatta road,btm,Just Chill
Just Delhiwala,quick bites,3.8,80,300.0,Yes,No,north indian,bellandur,bellandur,Just Delhiwala
Just Dosa,quick bites,3.7,34,200.0,No,No,south indian,hsr,hsr,Just Dosa
Just Eat,quick bites,2.8,40,500.0,Yes,No,"north indian, chinese, beverages",indiranagar,indiranagar,Just Eat
Just Fresh Point,quick bites,4.0,162,300.0,Yes,No,"street food, american, sandwich, fast food, beverages, burger, desserts, pizza",electronic city,electronic city,Just Fresh Point
Just Homely,"takeaway, delivery",2.8,40,300.0,Yes,No,north indian,electronic city,electronic city,Just Homely
Just Khao Suey,casual dining,4.0,183,600.0,Yes,No,burmese,old airport road,indiranagar,Just Khao Suey
Just Kulfi,dessert parlor,3.4,6,300.0,Yes,No,"ice cream, fast food",indiranagar,indiranagar,Just Kulfi
Just One More,quick bites,3.4,18,200.0,No,No,"south indian, street food",frazer town,frazer town,Just One More
Just Parathas,quick bites,3.4,5,250.0,No,No,north indian,brookefield,brookefield,Just Parathas
Just Protein,food truck,3.4,5,350.0,No,No,"chinese, fast food",kalyan nagar,north bangalore,Just Protein
Just Sandwiches,quick bites,3.6,10,100.0,Yes,No,sandwich,basavanagudi,btm,Just Sandwiches
Just Shawarma,kiosk,3.9,176,300.0,Yes,No,arabian,electronic city,electronic city,Just Shawarma
Just Thindi,quick bites,3.6,16,200.0,Yes,No,south indian,banashankari,basavanagudi,Just Thindi
Just Yum,quick bites,3.6,78,500.0,Yes,No,"north indian, chinese",sarjapur road,sarjapur road,Just Yum
Just@99,quick bites,3.1,7,300.0,Yes,No,"chinese, south indian, north indian",new bel road,new bel road,Just@99
JustBe Cafe,cafe,4.3,476,1000.0,No,Yes,"cafe, beverages, healthy food",malleshwaram,sadashiv nagar,JustBe Cafe
JW Kitchen - JW Marriott Bengaluru,fine dining,4.4,2111,2200.0,No,Yes,"north indian, continental, italian",brigade road,lavelle road,JW Kitchen - JW Marriott Bengaluru
K V Canteen,quick bites,3.5,17,100.0,No,No,south indian,brigade road,commercial street,K V Canteen
K.C Das,"sweet shop, quick bites",3.4,8,200.0,No,No,"mithai, street food",bannerghatta road,bannerghatta road,K.C Das
K.G.N Kabbab Corner,quick bites,4.0,83,500.0,No,No,"north indian, kebab",kalyan nagar,kalyan nagar,K.G.N Kabbab Corner
K27 - The Pub,bar,3.1,30,1000.0,No,No,"chinese, north indian",banashankari,banashankari,K27 - The Pub
KA 12 - Flavour Of Coorg,quick bites,4.0,105,300.0,Yes,No,south indian,new bel road,new bel road,KA 12 - Flavour Of Coorg
KA 51 Restocafe,cafe,3.9,39,650.0,No,No,"cafe, mughlai",electronic city,electronic city,KA 51 Restocafe
KA53,delivery,3.9,45,300.0,Yes,No,"biryani, north indian, chinese",whitefield,whitefield,KA53
Kaafi Desi,quick bites,4.0,528,150.0,Yes,No,"north indian, street food",marathahalli,marathahalli,Kaafi Desi
Kaaka T Cafe,quick bites,3.5,6,400.0,No,No,fast food,"byresandra,tavarekere,madiwala",btm,Kaaka T Cafe
Kaapi Corner,quick bites,2.8,40,100.0,No,No,south indian,banashankari,banashankari,Kaapi Corner
Kaapi Kendra,quick bites,3.7,14,100.0,Yes,No,south indian,banashankari,jayanagar,Kaapi Kendra
Kaapi Kuteera,quick bites,3.5,86,100.0,Yes,No,south indian,jp nagar,kanakapura road,Kaapi Kuteera
Kaapikada,quick bites,2.8,40,250.0,No,No,"kerala, fast food, beverages",kalyan nagar,kammanahalli,Kaapikada
KAARA BY THE LAKE,cafe,4.0,47,750.0,No,No,"cafe, italian, coffee",brigade road,ulsoor,KAARA BY THE LAKE
Kaaram,casual dining,3.8,327,500.0,Yes,No,"andhra, biryani",koramangala 7th block,koramangala 6th block,Kaaram
Kaati Roll Delights,"takeaway, delivery",3.2,4,150.0,No,No,"fast food, rolls",koramangala 4th block,hsr,Kaati Roll Delights
Kaati Zone,quick bites,2.8,26,350.0,No,No,"fast food, biryani, rolls",malleshwaram,malleshwaram,Kaati Zone
Kaayal,casual dining,3.0,253,500.0,Yes,No,"kerala, chinese",indiranagar,jeevan bhima nagar,Kaayal
Kabab Ghar,"takeaway, delivery",3.1,11,600.0,Yes,No,"biryani, north indian, kebab",bellandur,bellandur,Kabab Ghar
Kabab Korner,casual dining,3.9,205,500.0,Yes,No,"north indian, chinese, fast food",brigade road,st. marks road,Kabab Korner
Kabab Magic,casual dining,3.0,451,500.0,Yes,No,"north indian, kebab, fast food",brookefield,marathahalli,Kabab Magic
Kabab Mandra,quick bites,2.7,165,300.0,No,No,"north indian, chinese",whitefield,whitefield,Kabab Mandra
Kabab Mehal,quick bites,3.7,65,400.0,Yes,No,"kebab, north indian, fast food, beverages",bannerghatta road,jp nagar,Kabab Mehal
Kabab Mirchi,quick bites,3.2,4,300.0,No,No,"north indian, chinese, mughlai",marathahalli,marathahalli,Kabab Mirchi
Kabab Nation Corner,quick bites,3.5,75,500.0,Yes,No,"chinese, arabian, fast food",brigade road,brigade road,Kabab Nation Corner
Kabab Palace,quick bites,3.4,7,600.0,Yes,No,"north indian, chinese, rolls",kalyan nagar,nagawara,Kabab Palace
Kabab Souq,quick bites,3.4,7,400.0,No,No,"north indian, chinese",electronic city,electronic city,Kabab Souq
Kabab Treat,casual dining,2.8,334,500.0,Yes,No,"north indian, chinese",bannerghatta road,bannerghatta road,Kabab Treat
Kabab World,quick bites,3.0,25,500.0,No,No,"north indian, chinese",sarjapur road,sarjapur road,Kabab World
Kababish Restaurant,quick bites,2.8,40,500.0,Yes,No,"north indian, chinese, arabian, biryani, rolls",electronic city,electronic city,Kababish Restaurant
Kababji Cafe,quick bites,2.8,40,300.0,Yes,No,"biryani, rolls, middle eastern, arabian, charcoal chicken",electronic city,electronic city,Kababji Cafe
Kababs N Biryani,quick bites,3.4,22,200.0,Yes,No,south indian,banashankari,banashankari,Kababs N Biryani
Kabsa House,casual dining,3.6,24,500.0,No,No,north indian,kalyan nagar,kalyan nagar,Kabsa House
Kachori Kafe,quick bites,3.1,570,300.0,Yes,No,"street food, mithai, desserts, north indian",hsr,hsr,Kachori Kafe
Kadai,casual dining,3.6,73,450.0,Yes,No,"north indian, chinese, seafood, south indian",malleshwaram,basaveshwara nagar,Kadai
Kadai Crust - Amma Veetu Samayal,"takeaway, delivery",3.8,263,700.0,No,No,"chettinad, south indian, biryani",church street,indiranagar,Kadai Crust - Amma Veetu Samayal
Kadai Restaurant,quick bites,2.9,27,350.0,Yes,No,"north indian, mughlai, chinese",kalyan nagar,hennur,Kadai Restaurant
Kadal Da Meen,casual dining,3.9,116,900.0,Yes,No,"biryani, seafood","byresandra,tavarekere,madiwala",hsr,Kadal Da Meen
Kadala Tarangaa,casual dining,3.6,129,600.0,Yes,No,"mangalorean, seafood, north indian",banashankari,banashankari,Kadala Tarangaa
Kadala Teera,casual dining,3.8,46,600.0,Yes,No,"seafood, south indian",bellandur,sarjapur road,Kadala Teera
Kadalu Sea Food Restaurant,fine dining,3.8,153,500.0,Yes,No,"seafood, north indian, chinese, andhra, biryani, kebab",banashankari,vijay nagar,Kadalu Sea Food Restaurant
Kadamba Classic,quick bites,3.6,16,300.0,No,No,south indian,banashankari,mysore road,Kadamba Classic
Kadamba Foodline,casual dining,3.7,28,400.0,Yes,No,"chinese, north indian, south indian",indiranagar,ulsoor,Kadamba Foodline
Kadamba Gardenia,casual dining,3.6,74,400.0,No,No,"south indian, chinese, north indian, street food",new bel road,jalahalli,Kadamba Gardenia
Kadavu Shappu Currys,quick bites,3.3,50,400.0,Yes,No,kerala,hsr,hsr,Kadavu Shappu Currys
Kadhai Tadka family Restaurant,quick bites,2.8,40,400.0,No,No,"chinese, north indian",electronic city,electronic city,Kadhai Tadka family Restaurant
Kafe Nook,quick bites,3.6,35,300.0,Yes,No,fast food,bannerghatta road,btm,Kafe Nook
KafeKombos,"takeaway, delivery",3.5,16,300.0,Yes,No,"north indian, south indian, oriya",hsr,hsr,KafeKombos
Kaggis,quick bites,3.8,64,250.0,No,No,"fast food, bakery",banashankari,banashankari,Kaggis
Kaifu,casual dining,4.2,418,700.0,Yes,No,"chinese, asian",malleshwaram,new bel road,Kaifu
Kailash Parbat,food court,2.6,84,400.0,No,No,north indian,brookefield,whitefield,Kailash Parbat
Kairali,quick bites,3.9,170,300.0,Yes,No,"kerala, south indian, seafood, biryani","byresandra,tavarekere,madiwala",btm,Kairali
Kairali Restaurant,quick bites,3.4,19,400.0,Yes,No,"kerala, south indian",electronic city,electronic city,Kairali Restaurant
Kairos,cafe,3.8,63,1000.0,No,No,"cafe, italian, european",hsr,hsr,Kairos
Kaizen Wellness Kitchen,casual dining,3.7,37,800.0,Yes,No,"asian, continental, european",bannerghatta road,jp nagar,Kaizen Wellness Kitchen
Kaka Da Dhaba,quick bites,3.1,16,400.0,No,No,north indian,marathahalli,marathahalli,Kaka Da Dhaba
Kaka Food Corner,quick bites,3.4,86,300.0,Yes,No,north indian,brookefield,whitefield,Kaka Food Corner
Kaka Singh,casual dining,2.6,42,400.0,Yes,No,north indian,bellandur,bellandur,Kaka Singh
Kakaji,quick bites,3.7,205,350.0,Yes,No,north indian,brookefield,marathahalli,Kakaji
Kakal Kai Ruchi,casual dining,3.9,30,450.0,No,No,"south indian, north indian, chinese",bannerghatta road,jp nagar,Kakal Kai Ruchi
Kakal-Kai Ruchi,casual dining,3.7,217,500.0,Yes,No,"north indian, south indian, chinese",bannerghatta road,jp nagar,Kakal-Kai Ruchi
Kaka-T-Cafe,quick bites,4.0,60,400.0,No,No,"arabian, fast food",hsr,hsr,Kaka-T-Cafe
Kakatiya's,quick bites,3.1,6,250.0,Yes,No,"south indian, biryani",bellandur,hsr,Kakatiya's
Kalavara,quick bites,3.4,13,150.0,Yes,No,"south indian, kerala",indiranagar,cv raman nagar,Kalavara
Kalinga Delicacies Restaurant,casual dining,3.1,11,400.0,Yes,No,"north indian, bengali, oriya",brookefield,brookefield,Kalinga Delicacies Restaurant
Kalingas,quick bites,3.9,173,250.0,Yes,No,"oriya, fast food",bannerghatta road,btm,Kalingas
Kalkata Kati Roll,quick bites,3.3,7,150.0,No,No,"fast food, rolls",new bel road,sahakara nagar,Kalkata Kati Roll
Kalla's Restaurant,quick bites,3.6,19,200.0,Yes,No,"north indian, juices",brookefield,marathahalli,Kalla's Restaurant
Kallummakkaya,quick bites,2.8,40,200.0,Yes,No,"south indian, north indian","byresandra,tavarekere,madiwala",btm,Kallummakkaya
Kalmane Koffees,cafe,3.6,46,350.0,No,No,cafe,brigade road,brigade road,Kalmane Koffees
Kalpanar Rannaghar,delivery,3.3,9,400.0,No,No,"north indian, bengali, chinese",koramangala 4th block,ejipura,Kalpanar Rannaghar
Kalpana's Kitchen,"takeaway, delivery",2.8,40,400.0,No,No,"bengali, north indian",koramangala 4th block,ejipura,Kalpana's Kitchen
Kalpavriksha Upahara,quick bites,3.9,126,400.0,Yes,No,"south indian, north indian, chinese",basavanagudi,jayanagar,Kalpavriksha Upahara
Kalpavruksha,quick bites,3.9,99,300.0,Yes,No,"south indian, north indian",bannerghatta road,bannerghatta road,Kalpavruksha
Kamakshi Kitchen,quick bites,3.7,28,350.0,Yes,No,"chinese, south indian",brookefield,marathahalli,Kamakshi Kitchen
Kamat Bugle Rock,quick bites,3.9,543,300.0,Yes,No,"south indian, fast food",banashankari,basavanagudi,Kamat Bugle Rock
Kamat Hotel,casual dining,3.6,60,450.0,No,No,"north indian, south indian, chinese",brigade road,shivajinagar,Kamat Hotel
Kamat Minerva,quick bites,2.6,72,300.0,Yes,No,"south indian, north indian, chinese",basavanagudi,basavanagudi,Kamat Minerva
Kamat Restaurant,casual dining,3.6,31,400.0,Yes,No,"south indian, north indian, chinese, desserts, juices",basavanagudi,city market,Kamat Restaurant
Kamat Swaad,casual dining,3.9,193,400.0,Yes,No,"south indian, north indian, chinese",bannerghatta road,jp nagar,Kamat Swaad
Kamat Upahaar,quick bites,2.8,28,200.0,No,No,"south indian, north indian",new bel road,jalahalli,Kamat Upahaar
Kamat Yatrinivas,quick bites,3.0,241,500.0,No,No,"north indian, south indian, chinese",whitefield,whitefield,Kamat Yatrinivas
Kamat's Palate Korner,casual dining,4.1,121,600.0,No,No,"north indian, chinese",brigade road,richmond road,Kamat's Palate Korner
Kanchan Dhaba,quick bites,3.2,4,350.0,No,No,"north indian, chinese",bannerghatta road,bannerghatta road,Kanchan Dhaba
Kanhaiyas,quick bites,3.6,10,150.0,No,No,south indian,jp nagar,bannerghatta road,Kanhaiyas
Kanha's Kafe,quick bites,3.5,12,200.0,No,No,"awadhi, bihari, fast food, ice cream, mithai","byresandra,tavarekere,madiwala",koramangala 5th block,Kanha's Kafe
Kanika Biryani Paradise,casual dining,3.4,15,700.0,No,No,"north indian, andhra, biryani",bannerghatta road,bannerghatta road,Kanika Biryani Paradise
Kanis Kitchen,quick bites,3.6,14,250.0,No,No,south indian,brigade road,shivajinagar,Kanis Kitchen
Kannoor Restaurant,casual dining,3.1,18,500.0,Yes,No,"kerala, chinese, south indian, north indian","byresandra,tavarekere,madiwala",btm,Kannoor Restaurant
Kannur Food Point,quick bites,3.7,214,200.0,Yes,No,"kerala, north indian","byresandra,tavarekere,madiwala",btm,Kannur Food Point
Kannur Restaurant,quick bites,3.7,50,400.0,No,No,"south indian, north indian, kerala",kalyan nagar,kammanahalli,Kannur Restaurant
Kanteen 038,quick bites,3.9,51,200.0,Yes,No,"tea, beverages, fast food",brigade road,indiranagar,Kanteen 038
Kanteen The Eatery,quick bites,3.9,77,400.0,Yes,No,north indian,bannerghatta road,bannerghatta road,Kanteen The Eatery
Kanthari,quick bites,3.9,93,400.0,Yes,No,"north indian, kerala, chinese",kalyan nagar,kalyan nagar,Kanthari
Kanti Sweets,"dessert parlor, quick bites",3.6,20,400.0,Yes,No,"mithai, street food",church street,cunningham road,Kanti Sweets
Kanti's,quick bites,3.8,46,300.0,No,No,"mithai, street food",marathahalli,marathahalli,Kanti's
Kanua,casual dining,4.4,889,1400.0,Yes,Yes,"konkan, mangalorean, seafood",bellandur,sarjapur road,Kanua
Kapoor's Biriyani,quick bites,3.3,334,400.0,Yes,No,"biryani, north indian","byresandra,tavarekere,madiwala",btm,Kapoor's Biriyani
Kapoor's Cafe,casual dining,4.0,169,800.0,Yes,No,north indian,jayanagar,jayanagar,Kapoor's Cafe
Kapoor's Punjabi Rolls,quick bites,2.8,40,300.0,Yes,No,"rolls, fast food",kalyan nagar,kalyan nagar,Kapoor's Punjabi Rolls
Karachi Bakery,bakery,2.8,40,400.0,No,No,"bakery, desserts",church street,frazer town,Karachi Bakery
Karahi Kitchen,delivery,3.9,163,300.0,Yes,No,"andhra, biryani, chinese","byresandra,tavarekere,madiwala",koramangala 5th block,Karahi Kitchen
Karaikudi Restaurant,quick bites,3.7,214,300.0,Yes,No,south indian,electronic city,electronic city,Karaikudi Restaurant
Karama Restaurant,casual dining,4.1,1555,750.0,Yes,No,"arabian, north indian, beverages","byresandra,tavarekere,madiwala",koramangala 5th block,Karama Restaurant
Karavali Deluxe,quick bites,3.6,23,450.0,Yes,No,"north indian, chinese",malleshwaram,yeshwantpur,Karavali Deluxe
Karavali Family Restaurant,casual dining,3.5,90,500.0,Yes,No,"seafood, biryani, south indian, north indian, chinese",banashankari,jayanagar,Karavali Family Restaurant
Karavali Fish Center,quick bites,3.4,10,300.0,No,No,"mangalorean, chinese",banashankari,banashankari,Karavali Fish Center
Karavali Fishland,casual dining,3.1,30,700.0,Yes,No,"south indian, mangalorean, chinese",electronic city,electronic city,Karavali Fishland
Karavali Grand,casual dining,2.8,40,600.0,Yes,Yes,"north indian, seafood",bannerghatta road,jp nagar,Karavali Grand
Karavali Kitchen,casual dining,3.1,85,400.0,Yes,No,mangalorean,bellandur,sarjapur road,Karavali Kitchen
Karavali Kolimane,quick bites,3.7,28,350.0,Yes,No,"mangalorean, chinese, north indian",basavanagudi,wilson garden,Karavali Kolimane
Karavali Lunch Home,quick bites,3.3,4,200.0,No,No,kerala,"byresandra,tavarekere,madiwala",btm,Karavali Lunch Home
Karavali Naati Mane,quick bites,3.1,40,350.0,Yes,No,south indian,bellandur,sarjapur road,Karavali Naati Mane
Karavalli - The Gateway Hotel,fine dining,4.5,674,3500.0,No,Yes,"mangalorean, konkan, seafood, kerala",brigade road,residency road,Karavalli - The Gateway Hotel
Karavalli Food Court,casual dining,3.2,4,400.0,No,No,south indian,whitefield,whitefield,Karavalli Food Court
Kareem's,quick bites,3.6,32,700.0,Yes,No,"north indian, mughlai",brigade road,frazer town,Kareem's
Kargeens,cafe,3.9,363,900.0,Yes,No,"cafe, italian, pizza, continental",malleshwaram,new bel road,Kargeens
Karibu - The Zuri,casual dining,3.9,268,2000.0,No,Yes,"south indian, asian",whitefield,whitefield,Karibu - The Zuri
Karigiri Refreshments,quick bites,3.7,10,300.0,No,No,fast food,malleshwaram,rajajinagar,Karigiri Refreshments
Karma Foods,quick bites,3.2,7,250.0,No,No,"north indian, chinese",marathahalli,brookefield,Karma Foods
Karma Kaapi,beverage shop,4.4,181,250.0,Yes,No,"beverages, tea",banashankari,jayanagar,Karma Kaapi
Karnataka Bhel House,quick bites,3.9,65,100.0,No,No,street food,jayanagar,jayanagar,Karnataka Bhel House
