restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,delivery,3.8,33,350.0,No,No,"bakery, desserts",lavelle road,shanti nagar
Le Charcoal,casual dining,3.9,328,600.0,Yes,Yes,"arabian, lebanese, mughlai, north indian, bbq",brookefield,brookefield
Le Charcoal Xpress,quick bites,3.5,53,500.0,Yes,No,"arabian, lebanese, chinese, rolls",bellandur,sarjapur road
Le Cirque Signature - The Leela Palace,fine dining,4.3,126,6000.0,No,Yes,"french, italian",indiranagar,old airport road
Le Gateau - The Cake Shop,delivery,4.4,535,600.0,Yes,No,"desserts, bakery",indiranagar,old airport road
Le Jardin - The Oberoi,fine dining,4.3,687,3000.0,No,No,"european, mediterranean, north indian",brigade road,mg road
Le Jardin By Bhagini,casual dining,3.9,92,1000.0,No,No,"continental, thai, north indian, chinese",marathahalli,marathahalli
Le Rock,bar,4.0,1218,2000.0,Yes,No,"continental, chinese",mg road,brigade road
Le Roll Cafe,quick bites,3.9,52,300.0,Yes,No,"fast food, beverages, rolls",kalyan nagar,kammanahalli
Le Rosa Restaurant,casual dining,3.2,4,700.0,No,No,"north indian, mughlai, biryani","byresandra,tavarekere,madiwala",hsr
Le Spice Restaurant,casual dining,3.4,122,700.0,Yes,No,"arabian, kerala, north indian, chinese, beverages",kalyan nagar,banaswadi
Lee Momoz,quick bites,3.2,4,250.0,No,No,"chinese, tibetan, momos",sarjapur road,sarjapur road
Leela's Kitchen,quick bites,3.8,104,400.0,No,No,"kerala, south indian, north indian, chinese",kalyan nagar,banaswadi
Leia Soul Food,bakery,3.8,41,500.0,No,No,bakery,frazer town,frazer town
Lemlei Cafe,cafe,2.8,40,400.0,No,No,"cafe, continental, north eastern, chinese, fast food",kalyan nagar,kammanahalli
Lemon - The Lounge Bar,casual dining,3.1,12,800.0,No,No,"north indian, biryani, chinese",marathahalli,marathahalli
Lemon Krust,bakery,4.0,39,150.0,Yes,No,"bakery, fast food",whitefield,whitefield
Lemon Rice,quick bites,3.4,12,100.0,No,No,south indian,brigade road,ulsoor
Lenny's Burgers,"takeaway, delivery",2.8,40,500.0,Yes,No,"burger, fast food",brookefield,"varthur main road, whitefield"
Lenny's- Burgers and more,quick bites,3.9,38,400.0,Yes,No,"fast food, burger, beverages, rolls, sandwich",whitefield,whitefield
Leon Grill,quick bites,4.0,334,500.0,Yes,No,"fast food, healthy food",malleshwaram,new bel road
Leon's Take Away,"takeaway, delivery",3.7,215,450.0,Yes,No,"chinese, north indian, fast food",kalyan nagar,banaswadi
Lepcha Foods & Refreshment,"takeaway, delivery",3.4,15,350.0,Yes,No,"chinese, momos",indiranagar,thippasandra
Let's Bounce,quick bites,2.8,40,150.0,Yes,No,fast food,bannerghatta road,jp nagar
Lets cafe,quick bites,3.5,6,250.0,No,No,"chinese, north indian","byresandra,tavarekere,madiwala",koramangala 5th block
Leung Fast Food,quick bites,3.5,12,400.0,No,No,"chinese, fast food, seafood, momos",kalyan nagar,banaswadi
Levitate Brewery and Kitchen,"microbrewery, casual dining",2.8,40,1500.0,No,Yes,"finger food, north indian, continental",bannerghatta road,jp nagar
LG Park Restaurant,casual dining,3.4,7,800.0,No,No,"north indian, south indian",whitefield,whitefield
Library Bar - The Leela Palace,lounge,3.9,108,3000.0,No,No,finger food,indiranagar,old airport road
Lickity Garden,casual dining,3.2,4,750.0,Yes,No,"continental, mexican, biryani, italian, chinese, arabian, steak",church street,frazer town
Lifetree CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,casual dining,3.4,10,700.0,No,No,"north indian, chinese, continental",brigade road,richmond road
Lifetree CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,casual dining,3.4,10,700.0,No,No,"north indian, chinese, continental",lavelle road,richmond road
Light House Cafe,cafe,3.6,94,700.0,No,No,"cafe, beverages, continental, north indian, chinese",marathahalli,marathahalli
Lil Asia,casual dining,3.3,4,350.0,No,No,"chinese, thai, nepalese, tibetan",kalyan nagar,banaswadi
Lila Kitchen,delivery,2.9,8,500.0,Yes,No,north indian,brookefield,whitefield
Limelight - Royal Orchid Hotel,fine dining,3.9,428,2200.0,No,Yes,"continental, north indian",old airport road,old airport road
Limra Hotel,quick bites,3.3,26,300.0,Yes,No,"chinese, north indian",bannerghatta road,btm
Lincoln Bistro,casual dining,4.3,251,800.0,Yes,No,"north indian, mughlai, asian, chinese",new bel road,new bel road
L'inoui,dessert parlor,3.5,6,400.0,No,No,desserts,frazer town,frazer town
L'inoui - The Leela Palace,dessert parlor,3.5,9,400.0,No,No,desserts,indiranagar,old airport road
Lion City Restaurant and Cafe,quick bites,3.3,5,300.0,No,No,"north indian, south indian, chinese",electronic city,electronic city
Lion King,quick bites,3.8,76,250.0,Yes,No,"chinese, momos",marathahalli,kaggadasapura
Liquid Lounge - Hyatt Centric MG Road,lounge,4.0,91,2400.0,No,Yes,"finger food, continental, chinese",indiranagar,ulsoor
LIT Gastro Pub,pub,3.4,215,1000.0,Yes,Yes,"chinese, continental, burger, pizza",jayanagar,jayanagar
Litti House,quick bites,3.9,195,300.0,Yes,No,"north indian, bihari, rajasthani",brookefield,brookefield
Litti Twist,quick bites,4.1,464,300.0,Yes,No,"north indian, bihari",bannerghatta road,btm
Little Bites,"cafe, quick bites",3.6,7,200.0,No,No,"cafe, fast food",brigade road,mg road
Little Black Choux,bakery,4.0,35,250.0,No,No,bakery,brookefield,whitefield
Little Cafe,cafe,3.7,54,600.0,Yes,No,"cafe, beverages",banashankari,basavanagudi
Little Chef,casual dining,4.0,101,550.0,No,No,chinese,brigade road,richmond road
Little Green Cafe,"cafe, casual dining",4.3,786,900.0,No,No,"cafe, healthy food, salad, continental, beverages, italian, sandwich",brigade road,church street
Little Italy,casual dining,4.2,405,1500.0,Yes,Yes,"salad, healthy food, italian, juices, mexican, pizza",kalyan nagar,kalyan nagar
Little Kitchen,quick bites,3.6,82,400.0,Yes,No,"salad, biryani, chinese, north indian, kerala, desserts, seafood, south indian","byresandra,tavarekere,madiwala",koramangala 1st block
Little Kolkata,quick bites,3.9,96,500.0,Yes,No,"bengali, north indian",koramangala 6th block,ejipura
Little Lucknow,casual dining,4.0,235,800.0,Yes,Yes,"mughlai, north indian","byresandra,tavarekere,madiwala",koramangala 5th block
Little Nature,"quick bites, beverage shop",3.1,46,250.0,Yes,No,"juices, ice cream, fast food",brookefield,marathahalli
Little Onnion,casual dining,3.8,133,500.0,Yes,No,"biryani, andhra",whitefield,"itpl main road, whitefield"
Little Orissa Restaurant,casual dining,3.9,346,450.0,Yes,No,"oriya, north indian, bengali, chinese",indiranagar,indiranagar
Little Paramount Restaurants,quick bites,3.6,32,400.0,No,No,"mughlai, north indian",church street,vasanth nagar
Little Shangai,food court,3.3,4,400.0,No,No,"chinese, north indian, fast food",bannerghatta road,bannerghatta road
Little White Kitchen,quick bites,3.8,18,200.0,Yes,No,"chinese, continental, north indian, italian",brigade road,brigade road
Liveat,delivery,3.7,35,500.0,No,No,"healthy food, mexican, asian, continental",indiranagar,indiranagar
Lluvia Bakery,"takeaway, delivery",3.4,11,350.0,Yes,No,bakery,bellandur,sarjapur road
Loafers,delivery,3.6,13,500.0,No,No,"north indian, chinese, biryani",whitefield,whitefield
Lobby Cafe - Radha Regent,casual dining,3.7,177,1200.0,No,Yes,"continental, american, south indian, italian, north indian, chinese",electronic city,electronic city
Loca Moca,cafe,2.9,45,600.0,No,No,"cafe, continental",frazer town,frazer town
Loca Moca - The Indian Grub,"food court, casual dining",3.4,4,600.0,No,No,"north indian, biryani",bannerghatta road,bannerghatta road
LocalHost,quick bites,2.8,40,100.0,No,No,"fast food, street food, beverages",brigade road,whitefield
LOFT38,"lounge, casual dining",4.3,3586,2100.0,No,Yes,"continental, american, asian, north indian, burger",indiranagar,indiranagar
Longlive Pizza,"takeaway, delivery",3.2,61,400.0,Yes,No,"pizza, fast food",marathahalli,kaggadasapura
Lono,"lounge, casual dining",4.2,172,1500.0,No,Yes,"continental, modern indian",indiranagar,indiranagar
Lord of Combos,delivery,3.0,27,500.0,Yes,No,north indian,hsr,hsr
Lord Of The Kitchen,quick bites,3.9,56,350.0,Yes,No,"north indian, chinese",banashankari,kumaraswamy layout
Lost in Pizza,takeaway,3.1,4,600.0,Yes,No,"pizza, fast food",hsr,hsr
Lot Like Crepes,"cafe, dessert parlor",4.6,1024,550.0,Yes,No,"cafe, desserts, continental",jayanagar,koramangala 7th block
Lot Like Crepes & Cafe,"cafe, dessert parlor",4.0,21,600.0,Yes,No,"cafe, continental, desserts",whitefield,whitefield
Lotus Pavilion - ITC Gardenia,fine dining,4.2,175,3000.0,No,Yes,continental,brigade road,richmond road
Lotus Royal Cuisine,casual dining,3.3,13,750.0,No,No,"north indian, chinese",brigade road,church street
Lounge 189,"lounge, bar",3.8,157,1300.0,No,No,"continental, italian","byresandra,tavarekere,madiwala",hsr
Lovely Knights,delivery,3.5,356,500.0,Yes,No,"north indian, chinese",bellandur,bellandur
Loveshack,"lounge, cafe",3.9,1717,1600.0,No,Yes,"continental, pizza, north indian, goan, burger, cafe",indiranagar,domlur
Loyal Food,quick bites,3.2,16,500.0,Yes,No,continental,indiranagar,indiranagar
LSD Cafe,delivery,2.9,84,700.0,No,No,"chinese, continental, italian, north indian",banashankari,banashankari
Lucknow Central,quick bites,3.0,21,350.0,Yes,No,north indian,bellandur,marathahalli
Lucknowi Dabba,delivery,3.7,21,300.0,Yes,No,"mughlai, chinese, north indian","byresandra,tavarekere,madiwala",koramangala 1st block
Lucknowiz,quick bites,3.5,323,500.0,Yes,No,"lucknowi, chinese","byresandra,tavarekere,madiwala",koramangala 1st block
Lucky Bites,quick bites,3.4,7,400.0,No,No,"fast food, chinese",rajajinagar,vijay nagar
Lucky Singh & Co,"takeaway, delivery",4.0,38,350.0,No,No,"fast food, north indian, rolls",whitefield,whitefield
Lucky's Biriyani Point,"takeaway, delivery",3.4,9,400.0,Yes,No,"biryani, south indian, north indian, fast food","byresandra,tavarekere,madiwala",hsr
Ludo CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,cafe,3.9,144,550.0,No,No,"cafe, chinese, arabian",jp nagar,kumaraswamy layout
Lulu's Bakery & Fast Food,quick bites,3.6,84,300.0,Yes,No,"north indian, chinese, street food",whitefield,kr puram
Lumbini Snax,quick bites,3.3,5,300.0,No,No,"burger, fast food, italian",basavanagudi,basavanagudi
Luna Sweets,dessert parlor,3.6,19,100.0,No,No,"desserts, mithai",frazer town,frazer town
Lungees Foods,casual dining,3.7,160,500.0,Yes,No,kerala,bellandur,sarjapur road
Luo Han,casual dining,3.6,777,500.0,Yes,No,"chinese, thai",hsr,hsr
Luqma Restaurant,quick bites,3.5,18,550.0,Yes,No,"north indian, chinese, arabian, rolls",frazer town,rt nagar
Luscious - St. Mark's Hotel,lounge,3.7,11,1200.0,No,No,"north indian, continental",brigade road,st. marks road
Luscious Folks,quick bites,3.9,217,250.0,Yes,No,north indian,brookefield,marathahalli
"Lush - Renaissance Hotel, Bengaluru",casual dining,4.5,409,1200.0,No,Yes,"north indian, continental",malleshwaram,race course road
LV Venkateshwara Jolada Rotti Oota,quick bites,3.9,33,300.0,Yes,No,south indian,malleshwaram,malleshwaram
Lychees Restaurant,quick bites,3.2,53,400.0,No,No,fast food,frazer town,frazer town
M Bar - Bengaluru Marriott Hotel Whitefield,"fine dining, bar",3.9,75,2000.0,No,No,finger food,brookefield,whitefield
M Cafe - Bengaluru Marriott Hotel Whitefield,fine dining,4.1,821,2500.0,No,Yes,"north indian, american, italian",brookefield,whitefield
M World Cafe,cafe,3.5,14,500.0,Yes,No,cafe,"byresandra,tavarekere,madiwala",koramangala 1st block
M. R. G Sweets Angadi,"quick bites, sweet shop",3.3,9,150.0,No,No,"street food, mithai",jayanagar,jp nagar
M.M Restaurant,casual dining,3.9,184,600.0,Yes,No,"chinese, north indian, biryani",hsr,hsr
M.M.A Kabab Rolls & Biriyani Center,quick bites,3.6,92,400.0,Yes,No,"arabian, mughlai, chinese, kebab, fast food",kalyan nagar,banaswadi
M.M.A Kababs Rolls & Biryani Center,quick bites,2.7,66,400.0,Yes,No,"arabian, mughlai, chinese, kebab, fast food",mg road,old madras road
M.M.A. Kabab & Rolls,quick bites,3.5,7,400.0,Yes,No,"arabian, mughlai, chinese, kebab, fast food",frazer town,frazer town
M.M.A. Kabab's & Biriyani Center,quick bites,3.2,789,400.0,Yes,No,"arabian, mughlai, chinese, kebab, fast food",brookefield,brookefield
M9 - Citrus Hotels,casual dining,3.1,10,800.0,No,No,"north indian, continental, finger food",brigade road,cunningham road
Ma~Ga~Di,casual dining,3.3,12,800.0,No,No,"north indian, south indian, chinese",rajajinagar,vijay nagar
Maa Bargabhima Restaurant,quick bites,3.7,19,250.0,No,No,"bengali, mughlai, north indian",whitefield,whitefield
Maa Bhook Lagi,delivery,3.9,907,400.0,Yes,No,north indian,marathahalli,whitefield
Maa Biryani Hyderabadi,delivery,2.6,59,450.0,Yes,No,biryani,electronic city,electronic city
Maa Di Hatti,quick bites,2.8,137,500.0,Yes,No,north indian,"byresandra,tavarekere,madiwala",koramangala 1st block
Maa Durga Fast Food,quick bites,3.6,21,200.0,Yes,No,"north indian, chinese",koramangala 7th block,koramangala 8th block
Maa Durga Restaurant,quick bites,3.2,4,300.0,Yes,No,north indian,brookefield,whitefield
Maa Reddy's Hyderabadi Biryani House,quick bites,3.0,50,500.0,Yes,No,"biryani, andhra, north indian",electronic city,electronic city
Maa Tara Hotel,quick bites,3.8,50,400.0,Yes,No,"chinese, north indian",electronic city,electronic city
Maa Vooru,quick bites,3.2,4,300.0,No,No,fast food,sarjapur road,bellandur
Maaheshwari Chaat Wala,quick bites,3.9,27,100.0,No,No,street food,brigade road,ulsoor
Maa'r Rannaghor,quick bites,3.8,20,400.0,Yes,No,"bengali, chinese",bannerghatta road,jp nagar
Ma-Arya Family Restaurant,casual dining,3.1,8,600.0,No,No,"biryani, south indian, north indian, chinese, andhra","byresandra,tavarekere,madiwala",btm
Maashpacheez,quick bites,3.5,17,300.0,Yes,No,"north indian, chinese, south indian",marathahalli,marathahalli
Mabra Family Restaurant,quick bites,3.1,33,450.0,Yes,No,"north indian, chinese",new bel road,sanjay nagar
Mac Fast Food,quick bites,2.7,50,400.0,No,No,"fast food, chinese",old airport road,old airport road
Machali Port,casual dining,3.9,34,750.0,Yes,No,"mangalorean, seafood, north indian",bannerghatta road,jp nagar
Mad About China,food court,3.9,146,600.0,Yes,No,"chinese, momos",brookefield,whitefield
MAD Belgian Waffles,delivery,3.5,4,300.0,Yes,No,"desserts, beverages",hsr,sarjapur road
Mad Kitchen,quick bites,3.3,6,300.0,No,No,"north indian, chinese",whitefield,whitefield
Mad Over Biryani,quick bites,2.9,17,600.0,Yes,No,"biryani, north indian",brigade road,church street
Mad Over Donuts,dessert parlor,3.1,17,450.0,Yes,No,"bakery, desserts, beverages",bannerghatta road,bannerghatta road
Mad Over Fries,quick bites,3.4,43,350.0,Yes,No,"fast food, beverages",new bel road,new bel road
Maddy's Cafe,cafe,3.8,35,500.0,Yes,No,"cafe, continental",frazer town,kammanahalli
Maddy's Katti Cafe,quick bites,3.2,71,400.0,Yes,No,"fast food, beverages",malleshwaram,rajajinagar
Madeena Hotel,quick bites,3.9,50,400.0,Yes,No,"north indian, mughlai, biryani",bannerghatta road,bannerghatta road
Madhappa Hindu Military Hotel,quick bites,3.4,14,300.0,Yes,No,south indian,banashankari,banashankari
Madhu Iyengars Bakery,bakery,3.6,19,400.0,No,No,bakery,indiranagar,domlur
Madhuban Restaurant,casual dining,2.8,40,500.0,No,No,"bengali, continental, fast food, north indian, seafood",marathahalli,marathahalli
Madhura,casual dining,3.7,27,750.0,No,No,"north indian, chinese",malleshwaram,yeshwantpur
Madhu's Tandoori Kitchen,quick bites,3.0,17,350.0,No,No,"north indian, chinese, biryani",marathahalli,marathahalli
Madouk Cafe,cafe,4.0,72,500.0,No,No,cafe,brookefield,brookefield
Madurai Cafe,quick bites,2.8,40,200.0,No,No,"south indian, chinese, north indian",koramangala 7th block,wilson garden
Madurai Canteen,quick bites,2.9,38,200.0,Yes,No,"chettinad, south indian",kalyan nagar,nagawara
Madurai Idli Dosa Shop,quick bites,3.6,63,150.0,No,No,south indian,marathahalli,marathahalli
Madurai Idly Dosai Centre,quick bites,3.3,16,150.0,No,No,south indian,kalyan nagar,banaswadi
Madurai Idly Shop,quick bites,2.1,193,200.0,No,No,south indian,sarjapur road,sarjapur road
Madurai Meenakshi Vilas,quick bites,3.6,27,300.0,Yes,No,south indian,bellandur,bellandur
Madurai Veg Kitchen,"takeaway, delivery",2.8,40,200.0,Yes,No,"north indian, chinese, south indian",bellandur,bellandur
Maestros Cafe,takeaway,2.8,40,200.0,No,No,"biryani, fast food, cafe, coffee, rolls, wraps",kalyan nagar,hbr layout
Maggi N Maggi House,"takeaway, delivery",2.8,40,300.0,No,No,fast food,hsr,hsr
Magic Bowl,casual dining,3.6,98,700.0,Yes,No,"north indian, chinese, arabian, mughlai",electronic city,electronic city
Magic Box,"takeaway, delivery",3.3,21,300.0,Yes,No,"south indian, north indian, chinese",brigade road,indiranagar
Magic Meals,"quick bites, dessert parlor",3.7,44,400.0,Yes,No,"fast food, desserts, beverages",jayanagar,jayanagar
Magic Oven,"cafe, dessert parlor",4.0,134,400.0,No,No,"cafe, desserts",electronic city,electronic city
Magic scoops N Smiles,dessert parlor,2.8,40,200.0,No,No,desserts,brookefield,whitefield
Magix's Parattha Roll,quick bites,3.7,184,400.0,Yes,No,"fast food, north indian, chinese, mughlai, rolls",bannerghatta road,btm
Magnolia,casual dining,4.1,668,900.0,Yes,Yes,"chinese, thai, asian","byresandra,tavarekere,madiwala",koramangala 3rd block
Mahadii's,casual dining,3.8,223,600.0,Yes,No,"andhra, north indian, chinese",kammanahalli,kammanahalli
Mahadwani Restaurant,quick bites,3.3,4,300.0,No,No,"south indian, north indian",electronic city,electronic city
Mahalakshmi Refreshments,quick bites,3.7,22,200.0,No,No,south indian,malleshwaram,rajajinagar
Mahalaxmi Tiffin Room,quick bites,4.1,177,100.0,No,No,south indian,banashankari,basavanagudi
Mahek E Punjab,casual dining,3.1,7,500.0,No,No,"north indian, chinese",hsr,hsr
Mahek of Punjab,quick bites,2.7,75,400.0,Yes,No,north indian,brookefield,marathahalli
Mahek Pizza,quick bites,3.9,38,400.0,Yes,No,pizza,bannerghatta road,jp nagar
Mahesh Friends Food Center,quick bites,2.9,126,300.0,Yes,No,"chinese, north indian",bannerghatta road,btm
Mahesh Lunch Home,casual dining,4.1,860,1400.0,Yes,Yes,"seafood, mangalorean, north indian, chinese",brigade road,residency road
Mahjong Room - WelcomHotel Bengaluru,casual dining,4.4,127,1200.0,No,Yes,chinese,lavelle road,richmond road
Maia - Eat | Bake | Mom,casual dining,4.2,1004,1200.0,Yes,Yes,"continental, north indian, beverages",hsr,bellandur
Mainland China,casual dining,4.3,881,1700.0,Yes,Yes,"chinese, momos",basavanagudi,jayanagar
Maiyas,quick bites,4.0,1778,200.0,Yes,No,"north indian, south indian, fast food, juices",banashankari,jayanagar
Majaa Thindi,quick bites,3.9,37,100.0,Yes,No,south indian,new bel road,new bel road
Majlish,casual dining,3.6,79,800.0,No,No,"bengali, north indian, chinese",whitefield,whitefield
Mak n Vak - Fyn,quick bites,3.9,337,500.0,Yes,No,"north indian, chinese",bellandur,hsr
Makaranda,casual dining,3.5,14,750.0,No,No,"north indian, chinese, south indian, mughlai",malleshwaram,yeshwantpur
Make It Roll,quick bites,3.8,33,400.0,Yes,No,"rolls, salad, sandwich","byresandra,tavarekere,madiwala",hsr
Makers of Milkshakes,beverage shop,3.9,39,300.0,Yes,No,beverages,bellandur,hsr
Malabar,casual dining,3.0,159,400.0,Yes,No,south indian,indiranagar,jeevan bhima nagar
Malabar Bay,casual dining,4.1,1541,800.0,Yes,Yes,"kerala, seafood, chinese, biryani, juices","byresandra,tavarekere,madiwala",btm
Malabar Cafe,quick bites,3.3,4,400.0,Yes,No,"south indian, kerala, biryani",bannerghatta road,bannerghatta road
Malabar Coastal Cuisine,food court,3.6,68,550.0,No,No,kerala,"byresandra,tavarekere,madiwala",koramangala 7th block
Malabar Day,quick bites,2.8,40,300.0,No,No,"kerala, fast food, beverages",kalyan nagar,kammanahalli
Malabar Food Court,quick bites,3.4,7,400.0,No,No,"chinese, kerala, south indian",kalyan nagar,hbr layout
Malabar Kitchen,quick bites,2.8,40,300.0,Yes,No,"north indian, chinese, fast food",koramangala 6th block,btm
Malabar Mandra,casual dining,3.6,45,700.0,Yes,No,"kerala, chinese","byresandra,tavarekere,madiwala",koramangala 1st block
Malabar Mess,mess,3.7,43,250.0,No,No,kerala,bannerghatta road,bannerghatta road
Malabar Mint,casual dining,3.4,39,700.0,No,No,"kerala, north indian, chinese","byresandra,tavarekere,madiwala",koramangala 5th block
Malabar Restaurant,quick bites,3.6,19,400.0,No,No,"kerala, fast food, beverages",electronic city,electronic city
Malabar Tasty Restaurant,casual dining,3.0,8,450.0,No,No,"kerala, north indian, chinese, south indian",marathahalli,marathahalli
Malabar Treat,quick bites,3.4,6,500.0,Yes,No,"north indian, arabian, south indian, chinese","byresandra,tavarekere,madiwala",koramangala 1st block
Malabar Xpress,quick bites,3.2,4,300.0,Yes,No,"south indian, kerala",koramangala 6th block,koramangala 5th block
Malenadu Kitchen,casual dining,3.8,170,700.0,Yes,Yes,"south indian, north indian, chinese",jp nagar,kanakapura road
Malgudi Natti Style Hotel,quick bites,3.6,13,400.0,Yes,No,south indian,new bel road,sahakara nagar
Malgudi's Donne Biriyani,quick bites,3.8,101,350.0,Yes,No,biryani,malleshwaram,rajajinagar
Malhar Maharashtrian Cuisine,casual dining,4.0,101,500.0,Yes,No,maharashtrian,bannerghatta road,bannerghatta road
Malleshwaram Dosa Corner,quick bites,4.4,104,120.0,Yes,No,south indian,malleshwaram,malleshwaram
Malleshwaram Holige Mane,quick bites,3.5,7,200.0,No,No,south indian,malleshwaram,malleshwaram
Mallige,casual dining,3.2,5,700.0,No,No,"north indian, south indian",brigade road,race course road
Mallige Ootada Mane,quick bites,3.3,13,300.0,No,No,south indian,rajajinagar,vijay nagar
Mallnad Hotel,quick bites,3.2,4,300.0,No,No,"north indian, chinese",rajajinagar,rajajinagar
"Malnad Blossom, Coffee & Cream",cafe,3.8,33,300.0,No,No,cafe,jayanagar,jp nagar
Malnad Military Hotel,casual dining,3.8,40,500.0,No,No,"south indian, chinese","byresandra,tavarekere,madiwala",koramangala 7th block
Malties - Radisson Blu,lounge,4.3,53,4500.0,No,No,"continental, fast food",marathahalli,marathahalli
Mama Mia!,dessert parlor,3.9,111,400.0,Yes,No,"desserts, cafe",lavelle road,seshadripuram
Mama Mys Cafe,quick bites,3.5,40,300.0,No,No,fast food,basavanagudi,basavanagudi
Mamagoto,casual dining,4.4,2558,1600.0,Yes,Yes,"asian, thai, chinese, bbq, momos",indiranagar,indiranagar
Mamaji's,casual dining,2.8,40,600.0,Yes,No,north indian,kalyan nagar,hbr layout
Mamatha Restaurant,casual dining,2.6,74,700.0,Yes,No,"biryani, hyderabadi, north indian",hsr,bommanahalli
Mambos Cafe,cafe,3.9,62,1100.0,No,No,"cafe, continental, beverages, fast food",frazer town,frazer town
Mamma Mexicana,casual dining,2.2,406,1000.0,Yes,Yes,mexican,brigade road,mg road
Manasa Andhra Style Multi Cuisine Restaurant,casual dining,3.6,70,800.0,No,No,"north indian, south indian, chinese, andhra, biryani",electronic city,electronic city
Manasa Cool Cafe,cafe,3.2,7,300.0,Yes,No,"fast food, juices, cafe, desserts",electronic city,electronic city
Manasa Fishland,casual dining,4.1,201,650.0,Yes,No,"seafood, south indian, north indian",kalyan nagar,kalyan nagar
Manbhavan Premium Thali Restaurant,casual dining,4.0,485,1000.0,Yes,No,"hyderabadi, gujarati, maharashtrian",whitefield,whitefield
Manchow,casual dining,3.8,157,600.0,Yes,Yes,"chinese, asian, momos",bellandur,bellandur
Manchu Cafe,quick bites,3.7,24,300.0,Yes,No,"chinese, fast food, asian, beverages, nepalese, tibetan",koramangala 7th block,btm
Mandara - Imera Spa & Resort,casual dining,3.5,115,1200.0,No,No,"north indian, south indian, chinese",sarjapur road,sarjapur road
Mandarin Box,quick bites,3.9,80,500.0,No,No,chinese,brigade road,church street
Mandi,casual dining,3.8,560,800.0,Yes,Yes,north indian,bannerghatta road,jp nagar
Mandya Gowdru Donne Biriyani,quick bites,3.8,281,350.0,Yes,No,"biryani, south indian",bellandur,hsr
Mandya Gowdru Hotel,quick bites,3.3,5,200.0,No,No,south indian,brookefield,brookefield
Mandya Naati Style Hotel,quick bites,3.3,4,300.0,No,No,south indian,marathahalli,marathahalli
Mandya Umesh Nati Style Hotel,quick bites,3.4,7,350.0,No,No,south indian,marathahalli,marathahalli
Mane Holige,"sweet shop, quick bites",4.3,141,200.0,No,No,"mithai, south indian",basavanagudi,jayanagar
Mane Thindi,quick bites,3.7,130,200.0,No,No,south indian,banashankari,banashankari
Mangala Hotel,quick bites,2.8,40,100.0,No,No,south indian,bellandur,sarjapur road
Mangalore Kitchen,quick bites,3.8,42,500.0,Yes,No,"north indian, arabian, chinese",rajajinagar,vijay nagar
Mangalore Lunch Home,quick bites,3.1,33,300.0,Yes,No,"mangalorean, seafood",kalyan nagar,hbr layout
Mangalore Pearl,casual dining,3.8,242,650.0,Yes,No,"mangalorean, seafood, chinese, biryani",banashankari,jayanagar
Mangalore pearl - Seafood Restaurant,casual dining,4.3,94,550.0,Yes,No,"mangalorean, seafood",brigade road,ulsoor
Mango Greens,casual dining,3.9,48,900.0,No,Yes,"north indian, continental, chinese",bannerghatta road,jp nagar
Mango Tree Grand,quick bites,3.8,112,700.0,Yes,No,"andhra, north indian",bellandur,bellandur
Mango Tree- The Beer Garden,casual dining,4.1,1320,1200.0,Yes,Yes,"north indian, chinese, continental",bannerghatta road,jp nagar
Manifest Cafe,casual dining,3.5,10,500.0,No,No,"south indian, north indian, chinese",banashankari,banashankari
Mani's Dum Biryani,casual dining,3.5,119,750.0,Yes,No,"biryani, kebab",kalyan nagar,kalyan nagar
Manjit Da Dhaba,quick bites,4.3,783,300.0,Yes,No,north indian,brigade road,frazer town
Manju's Kitchen,quick bites,3.3,13,200.0,Yes,No,biryani,indiranagar,indiranagar
Manjushree Upahara,quick bites,3.8,31,150.0,Yes,No,south indian,bannerghatta road,bannerghatta road
Manjushree Veg,quick bites,3.5,10,150.0,No,No,"south indian, chinese",bannerghatta road,bannerghatta road
Manshi Paratha & Pav Bhaji,"takeaway, delivery",3.2,6,150.0,Yes,No,"north indian, fast food",hsr,hsr
Mantap Ice Cream,dessert parlor,3.5,7,200.0,No,No,desserts,lavelle road,majestic
MAP- My Appetite Place,"takeaway, delivery",3.8,29,600.0,Yes,No,"north indian, italian, chinese",bellandur,hsr
Marahaba,quick bites,3.0,7,400.0,Yes,No,"arabian, mediterranean","byresandra,tavarekere,madiwala",koramangala 6th block
Maraheb Restaurant,casual dining,4.2,219,1000.0,Yes,No,arabian,kalyan nagar,kalyan nagar
Marakachi,casual dining,3.7,82,600.0,Yes,No,chettinad,kammanahalli,kalyan nagar
Maratha Darshan,quick bites,4.0,107,400.0,No,No,"maharashtrian, north indian",brigade road,cunningham road
Marathi Biriyani House,quick bites,3.3,6,300.0,Yes,No,"south indian, biryani",brigade road,frazer town
